"Team","W","pWAR","hWAR","fWAR","year"
"Padres",89,15,14.4,29.4,1989
"Phillies",67,7.3,10.1,17.4,1989
"Pirates",74,9.3,21.8,31.1,1989
"Rangers",83,17,20.5,37.5,1989
"Red Sox",83,16.2,27.4,43.6,1989
"Reds",75,15.9,11.3,27.2,1989
"Royals",92,23.6,15.4,39,1989
"Tigers",59,4.9,10.1,15,1989
"Twins",80,10.7,20,30.7,1989
"White Sox",69,4.1,15.7,19.8,1989
"Yankees",74,7.5,24.4,31.9,1989
"Angels",80,20.2,16.3,36.5,1990
"Astros",75,8.5,10.5,19,1990
"Athletics",103,14.5,36.4,50.9,1990
"Blue Jays",86,17.4,26.5,43.9,1990
"Braves",65,13,11.2,24.2,1990
"Brewers",74,13.6,14,27.6,1990
"Cardinals",70,17.5,20.4,37.9,1990
"Cubs",77,13.1,9.6,22.7,1990
"Dodgers",86,14.1,22.5,36.6,1990
"Expos",85,14.5,17.5,32,1990
"Giants",85,7.8,23.4,31.2,1990
"Indians",77,8.1,17.9,26,1990
"Mariners",77,19.5,20.7,40.2,1990
"Mets",91,24.4,26.4,50.8,1990
"Orioles",76,7.4,21.1,28.5,1990
"Padres",75,14.4,14.8,29.2,1990
"Phillies",77,7.8,21.3,29.1,1990
"Pirates",95,13.8,31.7,45.5,1990
"Rangers",83,16.3,19.1,35.4,1990
"Red Sox",88,23.6,15.2,38.8,1990
"Reds",91,21.2,20.3,41.5,1990
"Royals",75,13.9,13.5,27.4,1990
"Tigers",79,6.4,22.5,28.9,1990
"Twins",74,14.4,12.4,26.8,1990
"White Sox",94,16.4,19.1,35.5,1990
"Yankees",67,10.7,10.1,20.8,1990
"Angels",81,18.3,8.2,26.5,1991
"Astros",65,5.6,15.5,21.1,1991
"Athletics",84,5.2,24.1,29.3,1991
"Blue Jays",91,22.7,19.8,42.5,1991
"Braves",94,17.8,14.3,32.1,1991
"Brewers",83,10.2,18.8,29,1991
"Cardinals",84,13.8,20.5,34.3,1991
"Cubs",77,15.1,17.5,32.6,1991
"Dodgers",93,19.8,19.5,39.3,1991
"Expos",71,10.9,16.5,27.4,1991
"Giants",75,6.9,22.1,29,1991
"Indians",57,20.9,4.7,25.6,1991
"Mariners",83,14.3,12.1,26.4,1991
"Mets",77,21.5,13.3,34.8,1991
"Orioles",67,13.9,22.3,36.2,1991
"Padres",84,16.1,20.4,36.5,1991
"Phillies",78,9.8,12.2,22,1991
"Pirates",98,16.8,31,47.8,1991
"Rangers",85,10.1,25.1,35.2,1991
"Red Sox",84,15.8,22.1,37.9,1991
"Reds",74,16.5,23.4,39.9,1991
"Royals",82,19.5,14.7,34.2,1991
"Tigers",84,9.5,29.6,39.1,1991
"Twins",95,15.2,27.4,42.6,1991
"White Sox",87,10.9,28.6,39.5,1991
"Yankees",71,15.1,10.6,25.7,1991
"Angels",72,16.9,1.8,18.7,1992
"Astros",81,8,20.9,28.9,1992
"Athletics",96,10.1,30.5,40.6,1992
"Blue Jays",96,18.6,29.1,47.7,1992
"Braves",98,18.8,25.2,44,1992
"Brewers",92,16.2,19.5,35.7,1992
"Cardinals",83,13,23,36,1992
"Cubs",78,11.9,14.4,26.3,1992
"Dodgers",63,15.8,6.1,21.9,1992
"Expos",87,15.3,21.6,36.9,1992
"Giants",72,9.5,15.5,25,1992
"Indians",76,9.7,19.2,28.9,1992
"Mariners",64,9.3,15.3,24.6,1992
"Mets",72,17.5,9.6,27.1,1992
"Orioles",89,17.4,25.4,42.8,1992
"Padres",82,18.1,23.5,41.6,1992
"Phillies",70,7.5,22.3,29.8,1992
"Pirates",96,12.1,25.1,37.2,1992
"Rangers",77,18.3,14.7,33,1992
"Red Sox",73,20.4,3,23.4,1992
"Reds",90,20.9,20.5,41.4,1992
"Royals",72,15.1,7.6,22.7,1992
"Tigers",75,6.1,27.4,33.5,1992
"Twins",90,19.8,23.9,43.7,1992
"White Sox",86,13.2,26.9,40.1,1992
"Yankees",76,13.3,22.8,36.1,1992
"Angels",71,13.9,6.7,20.6,1993
"Astros",85,17.8,29.4,47.2,1993
"Athletics",68,6.8,14.9,21.7,1993
"Blue Jays",95,18.8,28.6,47.4,1993
"Braves",104,25.8,30.5,56.3,1993
"Brewers",69,12,10.9,22.9,1993
"Cardinals",87,10.9,24.3,35.2,1993
"Cubs",84,13.3,26.6,39.9,1993
"Dodgers",81,18.7,10.4,29.1,1993
"Expos",94,15.1,18.4,33.5,1993
"Giants",103,12.2,35.3,47.5,1993
"Indians",76,7,17.9,24.9,1993
"Mariners",82,18.7,21,39.7,1993
"Marlins",64,11.7,6.7,18.4,1993
"Mets",59,14.1,11.4,25.5,1993
"Orioles",85,14.1,27.8,41.9,1993
"Padres",61,12.3,1.9,14.2,1993
"Phillies",97,18.2,27.7,45.9,1993
"Pirates",75,8.8,19.3,28.1,1993
"Rangers",86,15.1,20.1,35.2,1993
"Red Sox",80,19.8,17.1,36.9,1993
"Reds",73,13.5,13.5,27,1993
"Rockies",67,5.2,10,15.2,1993
"Royals",84,21.9,11.4,33.3,1993
"Tigers",85,8.9,25.7,34.6,1993
"Twins",71,15.4,5.5,20.9,1993
"White Sox",94,19.3,26.7,46,1993
"Yankees",88,11.9,32.7,44.6,1993
"Angels",47,6.9,7.9,14.8,1994
"Astros",66,9.3,26.2,35.5,1994
"Athletics",51,6.8,11.6,18.4,1994
"Blue Jays",55,12.1,7.6,19.7,1994
"Braves",68,20.3,17.9,38.2,1994
"Brewers",53,7.8,11.2,19,1994
"Cardinals",53,3,18.3,21.3,1994
"Cubs",49,8.1,10.8,18.9,1994
"Dodgers",58,11.9,10.3,22.2,1994
"Expos",74,15.9,20.6,36.5,1994
"Giants",55,6.1,14.6,20.7,1994
"Indians",66,14.5,19.7,34.2,1994
"Mariners",49,11.9,13.3,25.2,1994
"Marlins",51,4.1,13.6,17.7,1994
"Mets",55,9.2,7.2,16.4,1994
"Orioles",63,12,20.8,32.8,1994
"Padres",47,15.4,2.4,17.8,1994
"Phillies",54,10.6,7.3,17.9,1994
"Pirates",53,5.8,9.6,15.4,1994
"Rangers",52,6.9,9.6,16.5,1994
"Red Sox",54,11,8,19,1994
"Reds",66,13.3,21.6,34.9,1994
"Rockies",53,6.4,6.2,12.6,1994
"Royals",64,16.1,8,24.1,1994
"Tigers",53,4.9,13.1,18,1994
"Twins",53,5.7,12,17.7,1994
"White Sox",67,14.8,22.6,37.4,1994
"Yankees",70,12.2,23.4,35.6,1994
"Angels",78,16,22.7,38.7,1995
"Astros",76,14.9,22.2,37.1,1995
"Athletics",67,11.1,13.9,25,1995
"Blue Jays",56,11.7,5.5,17.2,1995
"Braves",90,24.2,17.6,41.8,1995
"Brewers",65,7.4,11.5,18.9,1995
"Cardinals",62,9.3,13,22.3,1995
"Cubs",73,8.8,20.8,29.6,1995
"Dodgers",78,16.4,18.2,34.6,1995
"Expos",66,14.6,11,25.6,1995
"Giants",67,2.2,25.4,27.6,1995
"Indians",100,20.1,27.8,47.9,1995
"Mariners",79,17.8,22.5,40.3,1995
"Marlins",67,9.7,19.5,29.2,1995
"Mets",69,14.4,14.6,29,1995
"Orioles",71,16.2,19.9,36.1,1995
"Padres",70,12.3,10,22.3,1995
"Phillies",69,10.5,14.9,25.4,1995
"Pirates",58,11,6.9,17.9,1995
"Rangers",74,14.1,12.7,26.8,1995
"Red Sox",86,18.4,30.2,48.6,1995
"Reds",85,14.6,28.3,42.9,1995
"Rockies",77,14,12.4,26.4,1995
"Royals",70,14.1,11,25.1,1995
"Tigers",60,7.8,3.2,11,1995
"Twins",56,3.5,14.5,18,1995
"White Sox",68,8.1,21,29.1,1995
"Yankees",79,13.3,21.9,35.2,1995
"Angels",70,11,13.9,24.9,1996
"Astros",82,11.3,22.2,33.5,1996
"Athletics",78,8.8,17.6,26.4,1996
"Blue Jays",74,16.7,11.1,27.8,1996
"Braves",96,29.5,25,54.5,1996
"Brewers",80,8.4,19.4,27.8,1996
"Cardinals",88,11.9,24.8,36.7,1996
"Cubs",76,9.4,21.7,31.1,1996
"Dodgers",90,20.5,12.6,33.1,1996
"Expos",88,17.6,16.7,34.3,1996
"Giants",68,4.7,19,23.7,1996
"Indians",99,22.3,30.2,52.5,1996
"Mariners",85,11,37.1,48.1,1996
"Marlins",80,17.2,20.7,37.9,1996
"Mets",71,11.3,25.2,36.5,1996
"Orioles",88,15.3,23.1,38.4,1996
"Padres",91,20.7,20.3,41,1996
"Phillies",67,13.5,11.3,24.8,1996
"Pirates",73,10.9,10.6,21.5,1996
"Rangers",90,19.4,27,46.4,1996
"Red Sox",85,15.1,16.8,31.9,1996
"Reds",81,11.5,16.1,27.6,1996
"Rockies",83,9.2,17.6,26.8,1996
"Royals",75,21.3,6.4,27.7,1996
"Tigers",53,2.9,0.2,3.1,1996
"Twins",78,8.6,21.9,30.5,1996
"White Sox",85,17.8,24.5,42.3,1996
"Yankees",92,23,18.6,41.6,1996
"Angels",84,10.8,21.6,32.4,1997
"Astros",84,16.5,31,47.5,1997
"Athletics",65,4.8,12,16.8,1997
"Blue Jays",76,21.9,6.3,28.2,1997
"Braves",101,28.5,31.8,60.3,1997
"Brewers",78,14.2,13.2,27.4,1997
"Cardinals",73,20.6,20.1,40.7,1997
"Cubs",68,9.3,13.2,22.5,1997
"Dodgers",88,14.7,19.8,34.5,1997
"Expos",78,14.6,17.9,32.5,1997
"Giants",90,10.3,27.5,37.8,1997
"Indians",86,11.8,31.3,43.1,1997
"Mariners",90,15.2,34,49.2,1997
"Marlins",92,15.2,21.9,37.1,1997
"Mets",88,11.8,22.9,34.7,1997
"Orioles",98,20.2,23.2,43.4,1997
"Padres",76,7.1,11.9,19,1997
"Phillies",68,12.2,9.7,21.9,1997
"Pirates",79,14.3,6.5,20.8,1997
"Rangers",77,15,17.3,32.3,1997
"Red Sox",78,12.9,28.5,41.4,1997
"Reds",76,12.7,10.7,23.4,1997
"Rockies",83,10.4,19.9,30.3,1997
"Royals",67,13.8,18.6,32.4,1997
"Tigers",79,15.9,8,23.9,1997
"Twins",68,11.7,12.7,24.4,1997
"White Sox",80,11.1,17.2,28.3,1997
"Yankees",96,23.5,22.8,46.3,1997
"Angels",85,15.7,8.2,23.9,1998
"Astros",102,18.4,35.2,53.6,1998
"Athletics",74,11.9,8.5,20.4,1998
"Blue Jays",88,18.5,22.1,40.6,1998
"Braves",106,27,37.6,64.6,1998
"Brewers",74,8.5,16.5,25,1998
"Cardinals",83,12.5,28.3,40.8,1998
"Cubs",90,14.7,21.7,36.4,1998
"Devil Rays",63,10.8,13.6,24.4,1998
"Diamondbacks",65,8.9,10.4,19.3,1998
"Dodgers",83,17.5,12.2,29.7,1998
"Expos",65,12.2,12.5,24.7,1998
"Giants",89,12,31.2,43.2,1998
"Indians",89,15.6,26.5,42.1,1998
"Mariners",76,15.8,26,41.8,1998
"Marlins",54,1.5,10,11.5,1998
"Mets",88,14.6,17.5,32.1,1998
"Orioles",79,16.2,24.9,41.1,1998
"Padres",98,21.4,17,38.4,1998
"Phillies",75,11.8,16,27.8,1998
"Pirates",69,17.5,5.6,23.1,1998
"Rangers",88,17.9,27.6,45.5,1998
"Red Sox",92,15.5,31.1,46.6,1998
"Reds",77,12.8,18.3,31.1,1998
"Rockies",77,15.8,13.7,29.5,1998
"Royals",72,11.3,7.3,18.6,1998
"Tigers",65,12.8,16.6,29.4,1998
"Twins",70,14.3,-4.5,9.8,1998
"White Sox",80,5.5,23.2,28.7,1998
"Yankees",114,21.2,36.1,57.3,1998
"Angels",70,13.3,9.8,23.1,1999
"Astros",97,26.7,27.4,54.1,1999
"Athletics",87,18.6,19.7,38.3,1999
"Blue Jays",84,13.9,23.7,37.6,1999
"Braves",103,27.8,23.8,51.6,1999
"Brewers",74,7,18,25,1999
"Cardinals",75,14,17.2,31.2,1999
"Cubs",67,9.5,10.3,19.8,1999
"Devil Rays",69,12.9,6.8,19.7,1999
"Diamondbacks",100,21.7,27.3,49,1999
"Dodgers",77,12.6,22.1,34.7,1999
"Expos",68,17.9,7.6,25.5,1999
"Giants",86,9.8,22.4,32.2,1999
"Indians",97,15.5,34.4,49.9,1999
"Mariners",79,9.1,18.3,27.4,1999
"Marlins",64,9.1,10.8,19.9,1999
"Mets",97,15.9,29.7,45.6,1999
"Orioles",78,11.7,28.9,40.6,1999
"Padres",74,12,17.6,29.6,1999
"Phillies",77,6.9,24.2,31.1,1999
"Pirates",78,14.9,14,28.9,1999
"Rangers",95,18.4,26.3,44.7,1999
"Red Sox",94,23.5,24.2,47.7,1999
"Reds",96,13.7,30.8,44.5,1999
"Rockies",72,8.4,1.3,9.7,1999
"Royals",64,7.4,19,26.4,1999
"Tigers",69,12.4,15.5,27.9,1999
"Twins",63,12.2,1.3,13.5,1999
"White Sox",75,11.3,12.2,23.5,1999
"Yankees",98,21.2,25.9,47.1,1999
"Angels",82,4.9,31.3,36.2,2000
"Astros",72,8.7,23,31.7,2000
"Athletics",91,17.1,22.8,39.9,2000
"Blue Jays",83,14.1,20.6,34.7,2000
"Braves",95,22.3,24.5,46.8,2000
"Brewers",73,10.3,11.7,22,2000
"Cardinals",95,15,31.2,46.2,2000
"Cubs",65,8.1,15.7,23.8,2000
"Devil Rays",69,13.6,7.4,21,2000
"Diamondbacks",85,22.1,15.6,37.7,2000
"Dodgers",86,16.5,23.7,40.2,2000
"Expos",67,13.8,8.3,22.1,2000
"Giants",97,16.4,34.7,51.1,2000
"Indians",90,20.4,27.1,47.5,2000
"Mariners",91,15.5,28.8,44.3,2000
"Marlins",79,13.1,14.5,27.6,2000
"Mets",94,19.1,23.5,42.6,2000
"Orioles",74,12,15.3,27.3,2000
"Padres",76,9.5,15.3,24.8,2000
"Phillies",65,10.9,11.8,22.7,2000
"Pirates",69,13.2,10.6,23.8,2000
"Rangers",71,11,10.2,21.2,2000
"Red Sox",85,20.5,16.4,36.9,2000
"Reds",85,13.8,24.3,38.1,2000
"Rockies",82,16.4,15.5,31.9,2000
"Royals",77,6.7,17.1,23.8,2000
"Tigers",79,17.3,19.7,37,2000
"Twins",69,13.3,3.3,16.6,2000
"White Sox",95,16.5,25.9,42.4,2000
"Yankees",87,17.5,20.6,38.1,2000
"Angels",75,14,17.8,31.8,2001
"Astros",93,14.4,23.6,38,2001
"Athletics",102,23.9,28,51.9,2001
"Blue Jays",80,18,15.7,33.7,2001
"Braves",88,21.1,20.9,42,2001
"Brewers",68,6.7,14.5,21.2,2001
"Cardinals",93,12.2,31.1,43.3,2001
"Cubs",88,22.2,20.6,42.8,2001
"Devil Rays",62,6.5,6.4,12.9,2001
"Diamondbacks",92,21.8,26,47.8,2001
"Dodgers",86,16.4,18.2,34.6,2001
"Expos",68,14,1,15,2001
"Giants",90,16.6,30.9,47.5,2001
"Indians",91,21.1,23.7,44.8,2001
"Mariners",116,18.9,44.4,63.3,2001
"Marlins",76,13.2,21.2,34.4,2001
"Mets",82,17.2,12.2,29.4,2001
"Orioles",63,9.9,9.3,19.2,2001
"Padres",79,8.1,17.7,25.8,2001
"Phillies",86,13.6,22.9,36.5,2001
"Pirates",62,9,6.7,15.7,2001
"Rangers",73,5.8,22.4,28.2,2001
"Red Sox",82,19.1,14.2,33.3,2001
"Reds",66,10.1,9.3,19.4,2001
"Rockies",73,10.4,26.5,36.9,2001
"Royals",65,7.6,11.3,18.9,2001
"Tigers",66,6.7,11.3,18,2001
"Twins",85,11.7,21.8,33.5,2001
"White Sox",83,13.4,23,36.4,2001
"Yankees",95,26.1,17.3,43.4,2001
"Angels",99,16.1,28.2,44.3,2002
"Astros",84,19.3,18.6,37.9,2002
"Athletics",103,23.1,23.1,46.2,2002
"Blue Jays",78,12.2,18.9,31.1,2002
"Braves",101,19.8,20.5,40.3,2002
"Brewers",56,4.8,9.9,14.7,2002
"Cardinals",97,14.2,30.4,44.6,2002
"Cubs",67,17.5,17.2,34.7,2002
"Devil Rays",55,2.8,11.5,14.3,2002
"Diamondbacks",98,26.4,22.1,48.5,2002
"Dodgers",92,16.4,23.7,40.1,2002
"Expos",83,16.6,13.2,29.8,2002
"Giants",95,18.1,35.1,53.2,2002
"Indians",74,15.3,10.4,25.7,2002
"Mariners",93,18.3,31.3,49.6,2002
"Marlins",79,11.8,19.1,30.9,2002
"Mets",75,13.4,17.6,31,2002
"Orioles",67,8.8,13.5,22.3,2002
"Padres",66,8.9,13.1,22,2002
"Phillies",80,13.1,23.9,37,2002
"Pirates",72,7.1,12.6,19.7,2002
"Rangers",72,7.6,21.9,29.5,2002
"Red Sox",93,22.6,24.2,46.8,2002
"Reds",78,11.3,16.6,27.9,2002
"Rockies",73,6.5,9.6,16.1,2002
"Royals",62,7.5,7.2,14.7,2002
"Tigers",55,11.2,-1,10.2,2002
"Twins",94,16.2,25.7,41.9,2002
"White Sox",81,14,22.5,36.5,2002
"Yankees",103,28.2,28.5,56.7,2002
"Angels",77,11.3,20.2,31.5,2003
"Astros",87,16.4,26.4,42.8,2003
"Athletics",96,22.4,12.7,35.1,2003
"Blue Jays",86,15.1,18.4,33.5,2003
"Braves",101,15.2,35.6,50.8,2003
"Brewers",68,6.8,9.6,16.4,2003
"Cardinals",85,7.3,34.4,41.7,2003
"Cubs",88,24.1,16.8,40.9,2003
"Devil Rays",63,3.1,17.6,20.7,2003
"Diamondbacks",84,24.6,7.7,32.3,2003
"Dodgers",85,27,10.2,37.2,2003
"Expos",83,15.5,9.6,25.1,2003
"Giants",100,15.7,28.2,43.9,2003
"Indians",68,12.1,13.8,25.9,2003
"Mariners",93,16.1,31.1,47.2,2003
"Marlins",91,21.3,23.4,44.7,2003
"Mets",66,8.3,5.1,13.4,2003
"Orioles",71,11.8,15.4,27.2,2003
"Padres",64,3.9,22.4,26.3,2003
"Phillies",86,16.6,26.4,43,2003
"Pirates",75,9.1,21,30.1,2003
"Rangers",71,8.9,20.2,29.1,2003
"Red Sox",95,21.5,32.6,54.1,2003
"Reds",69,6.6,10.3,16.9,2003
"Rockies",74,8.8,16.5,25.3,2003
"Royals",83,9.7,12.5,22.2,2003
"Tigers",43,2.9,-1.2,1.7,2003
"Twins",90,16.8,24,40.8,2003
"White Sox",86,22.5,22.5,45,2003
"Yankees",101,28.6,26.5,55.1,2003
"Angels",92,19.6,23.4,43,2004
"Astros",92,20.7,24.7,45.4,2004
"Athletics",91,17.7,20.6,38.3,2004
"Blue Jays",67,11.7,12.7,24.4,2004
"Braves",96,16.1,29,45.1,2004
"Brewers",67,19,9.8,28.8,2004
"Cardinals",105,16.4,33.6,50,2004
"Cubs",89,22.3,25.4,47.7,2004
"Devil Rays",70,7.2,16.3,23.5,2004
"Diamondbacks",51,10.6,-0.4,10.2,2004
"Dodgers",93,16.2,28,44.2,2004
"Expos",67,9.7,5.7,15.4,2004
"Giants",91,12.7,27.5,40.2,2004
"Indians",80,9.4,26.8,36.2,2004
"Mariners",63,8.9,17.3,26.2,2004
"Marlins",83,16.6,18.2,34.8,2004
"Mets",71,12.3,11.3,23.6,2004
"Orioles",78,15.7,22,37.7,2004
"Padres",87,15.5,25.9,41.4,2004
"Phillies",86,13.4,26.7,40.1,2004
"Pirates",72,15.6,7.8,23.4,2004
"Rangers",89,14.9,18.4,33.3,2004
"Red Sox",98,20.6,24.7,45.3,2004
"Reds",76,5.6,15.6,21.2,2004
"Rockies",68,7.3,14.1,21.4,2004
"Royals",58,9,1,10,2004
"Tigers",72,10.9,21.7,32.6,2004
"Twins",92,22.4,17.2,39.6,2004
"White Sox",83,13,23.2,36.2,2004
"Yankees",101,18.6,21.7,40.3,2004
"Angels",95,21.4,19.6,41,2005
"Astros",89,22.6,18.1,40.7,2005
"Athletics",88,18.3,23,41.3,2005
"Blue Jays",80,14,19.1,33.1,2005
"Braves",90,14.4,29.6,44,2005
"Brewers",81,16.5,19.4,35.9,2005
"Cardinals",100,15.5,27.1,42.6,2005
"Cubs",79,15.1,21.3,36.4,2005
"Devil Rays",67,4.9,20.6,25.5,2005
"Diamondbacks",77,11.9,12.4,24.3,2005
"Dodgers",71,11.3,13.6,24.9,2005
"Giants",75,11.7,13,24.7,2005
"Indians",93,19.2,30.9,50.1,2005
"Mariners",69,9.3,13.7,23,2005
"Marlins",83,21.2,18.2,39.4,2005
"Mets",83,17.4,18.1,35.5,2005
"Nationals",81,14.5,16.6,31.1,2005
"Orioles",74,12.4,18.8,31.2,2005
"Padres",82,17.4,20.3,37.7,2005
"Phillies",88,16,29.3,45.3,2005
"Pirates",67,7.2,13.4,20.6,2005
"Rangers",79,13.7,20.8,34.5,2005
"Red Sox",95,13.9,27.6,41.5,2005
"Reds",73,7,23.2,30.2,2005
"Rockies",67,10.2,10.3,20.5,2005
"Royals",56,6.1,2.7,8.8,2005
"Tigers",71,9.7,20.9,30.6,2005
"Twins",83,19,13.2,32.2,2005
"White Sox",99,23,18,41,2005
"Yankees",95,15.2,17.4,32.6,2005
"Angels",89,21.3,17,38.3,2006
"Astros",82,19.2,19.7,38.9,2006
"Athletics",93,17.2,16.5,33.7,2006
"Blue Jays",87,15.4,25.4,40.8,2006
"Braves",79,11,23.7,34.7,2006
"Brewers",75,16.2,15.9,32.1,2006
"Cardinals",83,7.8,23.3,31.1,2006
"Cubs",66,10.4,13.7,24.1,2006
"Devil Rays",61,8.8,10.3,19.1,2006
"Diamondbacks",76,19,10.8,29.8,2006
"Dodgers",88,19.7,20.7,40.4,2006
"Giants",76,13,15.7,28.7,2006
"Indians",78,16.4,21.2,37.6,2006
"Mariners",78,13.4,19.7,33.1,2006
"Marlins",78,12.2,20.2,32.4,2006
"Mets",97,16.2,28.1,44.3,2006
"Nationals",71,4.6,19.5,24.1,2006
"Orioles",70,7.6,17.1,24.7,2006
"Padres",88,16.4,26.1,42.5,2006
"Phillies",85,14.2,25.9,40.1,2006
"Pirates",67,12.5,7.7,20.2,2006
"Rangers",80,15.8,15.9,31.7,2006
"Red Sox",86,13.4,16.1,29.5,2006
"Reds",80,14.7,19.8,34.5,2006
"Rockies",76,17.3,13.5,30.8,2006
"Royals",62,0.5,18.3,18.8,2006
"Tigers",95,18.5,21.8,40.3,2006
"Twins",96,20.6,22.7,43.3,2006
"White Sox",90,19.2,19.3,38.5,2006
"Yankees",97,17.3,24.2,41.5,2006
"Angels",94,20,21.6,41.6,2007
"Astros",73,11.8,12.4,24.2,2007
"Athletics",76,17,17.2,34.2,2007
"Blue Jays",83,17.5,16.2,33.7,2007
"Braves",84,13.1,27.2,40.3,2007
"Brewers",83,18.8,25.1,43.9,2007
"Cardinals",78,9.8,18,27.8,2007
"Cubs",85,17.7,21.1,38.8,2007
"Devil Rays",66,9.2,17.6,26.8,2007
"Diamondbacks",90,16,10,26,2007
"Dodgers",82,20,16.8,36.8,2007
"Giants",71,16,10.5,26.5,2007
"Indians",96,20.5,21.7,42.2,2007
"Mariners",88,14.2,15.3,29.5,2007
"Marlins",71,8.3,20.7,29,2007
"Mets",88,14.6,27.7,42.3,2007
"Nationals",73,4.4,13.2,17.6,2007
"Orioles",69,11,15.1,26.1,2007
"Padres",89,22.7,15.8,38.5,2007
"Phillies",89,9.9,34.9,44.8,2007
"Pirates",68,10.9,12.5,23.4,2007
"Rangers",75,9.1,15.1,24.2,2007
"Red Sox",96,18.4,29.7,48.1,2007
"Reds",72,15,15.5,30.5,2007
"Rockies",90,16.5,23.1,39.6,2007
"Royals",69,12.1,14.3,26.4,2007
"Tigers",88,11.1,30.7,41.8,2007
"Twins",79,13.7,14.1,27.8,2007
"White Sox",72,17.2,2.9,20.1,2007
"Yankees",94,13.5,33.9,47.4,2007
"Angels",100,17.5,17.6,35.1,2008
"Astros",86,11.4,23.3,34.7,2008
"Athletics",75,14.6,14.7,29.3,2008
"Blue Jays",86,22.3,17.3,39.6,2008
"Braves",72,7.9,24.5,32.4,2008
"Brewers",90,14.6,24.6,39.2,2008
"Cardinals",86,9.1,34,43.1,2008
"Cubs",97,20.6,30.1,50.7,2008
"Diamondbacks",82,22.9,9.5,32.4,2008
"Dodgers",84,20,16.7,36.7,2008
"Giants",72,14.8,10.3,25.1,2008
"Indians",81,13.2,24,37.2,2008
"Mariners",61,9.4,7.6,17,2008
"Marlins",84,15.1,18.5,33.6,2008
"Mets",89,13,28.9,41.9,2008
"Nationals",59,7.9,8.5,16.4,2008
"Orioles",68,3.4,19,22.4,2008
"Padres",63,12.7,13.8,26.5,2008
"Phillies",92,14.9,32.8,47.7,2008
"Pirates",67,10.3,6.3,16.6,2008
"Rangers",79,9.2,23.5,32.7,2008
"Rays",97,19.2,29.2,48.4,2008
"Red Sox",95,18.4,32.9,51.3,2008
"Reds",74,9.1,13.8,22.9,2008
"Rockies",74,19.5,8.1,27.6,2008
"Royals",75,16.7,7.4,24.1,2008
"Tigers",74,8.3,16.8,25.1,2008
"Twins",88,12.8,19.3,32.1,2008
"White Sox",89,24.1,15.5,39.6,2008
"Yankees",89,16.9,21.3,38.2,2008
"Angels",97,13.7,29.1,42.8,2009
"Astros",74,11.6,12.7,24.3,2009
"Athletics",75,18,14.6,32.6,2009
"Blue Jays",75,15.6,19.5,35.1,2009
"Braves",86,19.7,22.2,41.9,2009
"Brewers",80,5.2,24.6,29.8,2009
"Cardinals",91,17.5,24.2,41.7,2009
"Cubs",83,18.5,14.5,33,2009
"Diamondbacks",70,13.5,17.5,31,2009
"Dodgers",95,18.6,27.4,46,2009
"Giants",88,19.7,16.6,36.3,2009
"Indians",65,9.9,14.5,24.4,2009
"Mariners",85,17.5,16.8,34.3,2009
"Marlins",87,14.1,19.3,33.4,2009
"Mets",70,10.4,12.8,23.2,2009
"Nationals",59,4.9,15.1,20,2009
"Orioles",64,6.8,11.6,18.4,2009
"Padres",75,11.1,15.5,26.6,2009
"Phillies",93,12.4,32,44.4,2009
"Pirates",62,12.6,10.5,23.1,2009
"Rangers",87,14.9,19,33.9,2009
"Rays",84,12.4,35.1,47.5,2009
"Red Sox",95,18.5,24.4,42.9,2009
"Reds",78,8.2,19.5,27.7,2009
"Rockies",92,21,18.9,39.9,2009
"Royals",65,14.9,2.2,17.1,2009
"Tigers",86,17,15,32,2009
"Twins",87,12.5,22.4,34.9,2009
"White Sox",79,20.2,8.6,28.8,2009
"Yankees",103,19.3,33.8,53.1,2009
"Angels",80,13.5,14.1,27.6,2010
"Astros",76,15.5,5.4,20.9,2010
"Athletics",81,13.7,20.3,34,2010
"Blue Jays",85,15.3,23.7,39,2010
"Braves",91,15.6,23.6,39.2,2010
"Brewers",77,7.4,30,37.4,2010
"Cardinals",86,11.4,25,36.4,2010
"Cubs",75,13.8,13.8,27.6,2010
"Diamondbacks",65,2.7,21.8,24.5,2010
"Dodgers",80,16.8,13.3,30.1,2010
"Giants",92,18.4,25.8,44.2,2010
"Indians",69,9.7,11,20.7,2010
"Mariners",61,15.7,2.2,17.9,2010
"Marlins",80,16.1,15.9,32,2010
"Mets",79,14.1,15.1,29.2,2010
"Nationals",69,10.4,16.6,27,2010
"Orioles",66,9.8,9.6,19.4,2010
"Padres",90,16.3,23.6,39.9,2010
"Phillies",97,16.6,23.1,39.7,2010
"Pirates",57,6.4,1.4,7.8,2010
"Rangers",90,19.3,21.8,41.1,2010
"Rays",96,16.3,30.7,47,2010
"Red Sox",89,15.7,24.9,40.6,2010
"Reds",91,12.8,35.7,48.5,2010
"Rockies",83,21.6,13.4,35,2010
"Royals",67,9.3,9.9,19.2,2010
"Tigers",81,18,23.6,41.6,2010
"Twins",94,17.3,27.8,45.1,2010
"White Sox",88,24,15.7,39.7,2010
"Yankees",95,16.4,31.2,47.6,2010
"Angels",86,15,23.8,38.8,2011
"Astros",56,5.6,13.3,18.9,2011
"Athletics",74,18,7.5,25.5,2011
"Blue Jays",81,10.7,15.6,26.3,2011
"Braves",89,14.2,18.5,32.7,2011
"Brewers",96,16.8,30.5,47.3,2011
