"","lgID","yearID","playerID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"8046","AL",1902,"mcmacsa01",34,0.14,6174000,0.98,17904.3771412893
"8047","NL",1904,"elliocl01",218,-0.02,6768000,-0.14,17898.6772226472
"8048","NL",1896,"abbeych01",6,-0.09,5352000,-0.63,17879.5659697861
"8049","NL",1912,"tompkch01",9,0.1,8626000,0.7,17840.5762754341
"8050","AL",1945,"connebi01",24,0.03,11860000,0.21,17828.5186970571
"8051","AL",1928,"rothrja01",3,0.06,9722000,0.42,17820.3569767571
"8052","AL",1920,"conwaje01",6,0.15,8930000,1.05,17819.6431992354
"8053","NL",1949,"sloatle01",27,-0.09,12444000,-0.63,17816.560618875
"8054","AL",1942,"bevillo01",29,-0.02,11422000,-0.14,17814.8795271014
"8055","AL",1937,"gickge01",6,0.12,10767000,0.84,17814.1781141639
"8056","AL",1903,"hoffmda01",9,0.08,6471000,0.56,17799.1391505746
"8057","NL",1898,"sullisu01",18,0.04,5466000,0.28,17796.1063708301
"8058","NL",1898,"rosebze01",65,0.03,5466000,0.21,17789.3395359587
"8059","NL",1913,"kentma01",22,0.23,8664000,1.61,17771.3891582309
"8060","AL",1957,"alexabo01",21,-0.3,17483000,-2.1,17760.7833369869
"8061","NL",1914,"ingerbo01",18,0.14,8702000,0.98,17752.6304508941
"8062","NL",1952,"fearve01",24,-0.16,13988000,-1.12,17750.2865105647
"8063","NL",1939,"naktepe01",12,0.09,11009000,0.63,17740.5884529263
"8064","NL",1936,"pezzupr01",6,0.03,10646000,0.21,17729.1585947921
"8065","NL",1892,"rettgge01",141,-0.08,5124000,-0.56,17723.820821636
"8066","NL",1956,"templch01",49,-0.33,16784000,-2.31,17707.4288375787
"8067","AL",1923,"blackda01",3,0.08,9227000,0.56,17706.9186679925
"8068","AL",1908,"withero01",145,0.08,7956000,0.56,17706.4965645509
"8069","NL",1907,"learyfr01",24,0.22,7659000,1.54,17705.0052772368
"8070","NL",1905,"moorege01",9,0.18,7065000,1.26,17701.4916774703
"8071","AL",1961,"cuetobe01",64,-0.92,20232000,-6.44,17701.2333184728
"8072","AL",1934,"newkifl01",3,0.03,10404000,0.21,17697.150963499
"8073","NL",1958,"nichodo02",124,-0.39,18182000,-2.73,17682.8953813992
"8074","NL",1952,"thielbe01",21,-0.16,13988000,-1.12,17674.7130576954
"8075","NL",1920,"meadojo01",109,0.14,8930000,0.98,17673.8381048879
"8076","NL",1894,"campki01",66,-0.03,5238000,-0.21,17667.6293036711
"8077","NL",1949,"reedebi01",101,-0.09,12444000,-0.63,17653.504455945
"8078","AL",1969,"geishve01",93,-0.34,25448000,-2.38,17646.0771813552
"8079","NL",1919,"reganmi01",7,-0.01,8892000,-0.07,17642.7465237613
"8080","AL",1926,"kiefejo01",90,0.13,9524000,0.91,17639.0101313178
"8081","AL",1955,"fletcva01",36,-0.22,16085000,-1.54,17633.7100103803
"8082","NL",1897,"mahonmi01",3,-0.1,5409000,-0.7,17633.6509290135
"8083","AL",1948,"lindely01",30,0,12298000,0,17632.6474230542
"8084","AL",1940,"willite01",6,0.05,11130000,0.35,17627.6072196059
"8085","NL",1890,"wadswja01",509,-1.24,5010000,-8.68,17627.2544510011
"8086","AL",1908,"mcmahdo01",27,0.08,7956000,0.56,17625.4336449765
"8087","NL",1934,"maliscy01",11,0.03,10404000,0.21,17623.1052895185
"8088","NL",1936,"fordge02",6,0.02,10646000,0.14,17615.6667783951
"8089","AL",1913,"grovech01",32,0.22,8664000,1.54,17608.1104585189
"8090","NL",1942,"lamanfr02",20,-0.02,11422000,-0.14,17601.6519462868
"8091","NL",1910,"schetlo01",324,0.2,8550000,1.4,17599.7252373385
"8092","NL",1899,"lochhha01",11,0.08,5523000,0.56,17594.5120085
"8093","AL",1951,"markedu01",64,-0.16,13289000,-1.12,17590.5313361685
"8094","AL",1932,"fonsele01",3,0.04,10162000,0.28,17589.3098725412
"8095","AL",1970,"peterra01",6,-0.47,26100000,-3.29,17585.8311082704
"8096","AL",1917,"dickege01",3,0.06,8816000,0.42,17585.7105113098
"8097","NL",1913,"dickswa01",384,0.22,8664000,1.54,17555.1028520278
"8098","AL",1935,"ferrabi01",21,0.01,10525000,0.07,17551.6380228984
"8099","AL",1944,"mcgiljo01",3,-0.11,11714000,-0.77,17551.5894622322
"8100","AL",1938,"cramedo01",12,0.05,10888000,0.35,17546.5114571311
"8101","AL",1950,"raneyri01",6,-0.05,12590000,-0.35,17543.6116590455
"8102","AL",1922,"duffla01",38,0.12,9128000,0.84,17543.1273969022
"8103","NL",1926,"poetzjo01",24,0.12,9524000,0.84,17538.9872401132
"8104","AL",1940,"torregi01",8,0.04,11130000,0.28,17533.2425118146
"8105","NL",1920,"lowege01",6,0.13,8930000,0.91,17530.5824265052
"8106","AL",1916,"penneke01",38,0.05,8778000,0.35,17518.3875526043
"8107","AL",1921,"walshji03",12,0.2,9029000,1.4,17517.378295877
"8108","NL",1954,"zickbo01",49,-0.39,15386000,-2.73,17505.3537662449
"8109","AL",1937,"kohlmjo01",39,0.06,10767000,0.42,17484.9354402733
"8110","AL",1969,"washbgr01",34,-0.37,25448000,-2.59,17481.4424049036
"8111","NL",1934,"johnsll01",3,0.03,10404000,0.21,17477.558310998
"8112","NL",1935,"kleinnu01",38,0.01,10525000,0.07,17475.8813631474
"8113","AL",1911,"livelja01",347,0.15,8588000,1.05,17475.7909549117
"8114","NL",1909,"coonebi01",19,0.18,8253000,1.26,17473.2132668596
"8115","AL",1954,"osterbi01",47,-0.4,15386000,-2.8,17470.2715394002
"8116","NL",1940,"hoersle01",36,0.04,11130000,0.28,17468.1994891204
"8117","AL",1969,"boydga01",33,-0.38,25448000,-2.66,17448.2492264459
"8118","NL",1929,"tennaji01",3,0.03,9821000,0.21,17448.1632853051
"8119","NL",1890,"heardch01",132,-1.59,5010000,-11.13,17447.8977577166
"8120","NL",1894,"eganri01",15,-0.05,5238000,-0.35,17440.9634983039
"8121","AL",1945,"schrepa01",13,0.02,11860000,0.14,17440.6976908579
"8122","NL",1927,"morrigu01",103,0.09,9623000,0.63,17433.3423858049
"8123","AL",1946,"coopepa01",3,0.04,12006000,0.28,17426.4870739247
"8124","AL",1971,"machech01",55,-1.16,27127000,-8.12,17417.8432130801
"8125","NL",1915,"palmeem01",35,0.23,8740000,1.61,17410.0662124558
"8126","AL",1903,"mcgeeco01",30,0.07,6471000,0.49,17405.5718645855
"8127","NL",1904,"mcniced01",366,-0.03,6768000,-0.21,17397.4392563209
"8128","NL",1884,"brillfr01",309,-1.52,4644000,-10.64,17397.0934230083
"8129","AL",1907,"gehrihe01",261,0.19,7659000,1.33,17394.5105598255
"8130","AL",1956,"crimija01",387,-0.42,16784000,-2.94,17386.9468847984
"8131","NL",1925,"fribebe01",12,0.1,9425000,0.7,17382.9504733974
"8132","NL",1945,"chetkmi01",9,0.02,11860000,0.14,17378.3030957751
"8133","NL",1916,"fortuga01",15,0.05,8778000,0.35,17372.9854856257
"8134","NL",1947,"spragho01",16,-0.02,12152000,-0.14,17367.8240600727
"8135","NL",1969,"everile01",47,-0.38,25448000,-2.66,17366.5496973402
"8136","NL",1918,"howarea01",6,0.13,8854000,0.91,17363.0560567601
"8137","NL",1940,"mahanar01",3,0.03,11130000,0.21,17361.5066317513
"8138","AL",1924,"joneske01",6,0.13,9326000,0.91,17359.5952145304
"8139","NL",1911,"boydra01",132,0.15,8588000,1.05,17359.3613336428
"8140","AL",1944,"henryea01",53,-0.12,11714000,-0.84,17355.9475986108
"8141","AL",1920,"veddelo01",6,0.12,8930000,0.84,17351.1988806963
"8142","AL",1943,"kuczybe01",74,-0.07,11568000,-0.49,17344.1558101447
