"","lgID","yearID","playerID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"5763","AL",2017,"povsema01",11,-0.16,91457000,-1.12,31584.3616547812
"5764","NL",1963,"rowedo01",164,0.48,21536000,3.36,31580.0004254353
"5765","NL",2010,"stangda01",12,-0.18,76190000,-1.26,31574.2159682123
"5766","NL",1988,"morriji01",11,0.14,39818000,0.98,31564.9997243358
"5767","AL",2019,"mooredy01",3,-0.12,95819000,-0.84,31557.7522888402
"5768","AL",1986,"paceljo01",33,0.1,38956000,0.7,31545.2311185462
"5769","AL",1922,"brillji01",359,1.6,9128000,11.2,31542.6935995888
"5770","NL",2012,"brownba01",58,-0.16,80552000,-1.12,31542.1912234942
"5771","NL",2008,"guevaca01",37,-0.14,73764000,-0.98,31536.8723619285
"5772","NL",2018,"tsengje01",6,-0.16,93638000,-1.12,31532.7231697644
"5773","AL",1968,"kellero01",48,0.19,24796000,1.33,31524.3961475089
"5774","NL",1903,"schmihe01",903,1.97,6471000,13.79,31521.1660530682
"5775","NL",1993,"loonebr01",18,0.11,47694000,0.77,31520.9272787656
"5776","AL",1998,"dykhora01",3,-0.06,59384000,-0.42,31518.2003385857
"5777","AL",1984,"mitchch01",49,0.19,38094000,1.33,31514.851134929
"5778","NL",1890,"demarfr01",6,0.13,5010000,0.91,31501.3640700733
"5779","AL",1993,"davisch01",6,0.09,47694000,0.63,31490.6094929763
"5780","NL",1986,"mitchjo02",30,0.1,38956000,0.7,31483.7603714876
"5781","AL",1990,"bitkejo01",36,0.21,40680000,1.47,31482.9414481351
"5782","AL",1981,"schatje01",9,0.09,36801000,0.63,31479.7613389856
"5783","NL",1898,"thornwa01",646,2.06,5466000,14.42,31470.8244289775
"5784","AL",1995,"thomami01",4,0.05,52370000,0.35,31458.1403837597
"5785","AL",2014,"surkaer01",73,-0.2,84914000,-1.4,31456.3070188225
"5786","NL",2009,"morened01",67,-0.12,74977000,-0.84,31449.0802572119
"5787","AL",2017,"bradymi01",95,-0.18,91457000,-1.26,31440.3809407765
"5788","NL",1886,"strikjo01",45,-0.03,4766000,-0.21,31440.3404665848
"5789","AL",1987,"ceronri01",6,0.07,39387000,0.49,31439.2501468216
"5790","NL",2019,"diazmi02",19,-0.12,95819000,-0.84,31437.7930750081
"5791","AL",2007,"desalma01",83,-0.11,72551000,-0.77,31437.5702626717
"5792","NL",2012,"weilaky01",53,-0.18,80552000,-1.26,31429.90915675
"5793","AL",1995,"martida01",3,0.04,52370000,0.28,31428.1876013867
"5794","NL",1999,"crousri01",215,-0.06,61722000,-0.42,31427.6562937866
"5795","NL",1942,"webbele01",155,1.08,11422000,7.56,31423.3101186956
"5796","AL",1911,"worksra01",502,1.35,8588000,9.45,31421.5129687374
"5797","NL",1895,"parkedo01",154,1.53,5295000,10.71,31395.5903405443
"5798","NL",2007,"munozar01",16,-0.11,72551000,-0.77,31392.1099241161
"5799","NL",1993,"greerke01",3,0.09,47694000,0.63,31389.8003186453
"5800","NL",1962,"mackeke01",240,0.64,20884000,4.48,31379.016725022
"5801","NL",1997,"ramosed01",42,-0.09,57046000,-0.63,31373.9145403439
"5802","AL",1979,"eatoncr01",30,0.17,35343000,1.19,31371.6759539837
"5803","NL",1883,"huntele01",19,-0.17,4583000,-1.19,31354.5199834635
"5804","NL",1904,"kelluwi01",674,2.17,6768000,15.19,31352.0144764355
"5805","NL",1923,"barfocl01",304,1.57,9227000,10.99,31346.8405156877
"5806","NL",1919,"goodwma01",537,1.42,8892000,9.94,31341.9698786361
"5807","NL",1984,"zaskeje01",15,0.17,38094000,1.19,31336.2770274852
"5808","NL",2016,"marteke02",10,-0.19,89276000,-1.33,31325.6586794756
"5809","AL",1915,"collaal01",193,1.55,8740000,10.85,31322.3250482703
"5810","AL",1940,"trottbi01",294,1.24,11130000,8.68,31319.2547371803
"5811","AL",1920,"wilkiro01",435,1.61,8930000,11.27,31312.9995425153
"5812","NL",1884,"crosbge01",84,-0.14,4644000,-0.98,31307.8751766488
"5813","NL",1964,"schurwa01",145,0.48,22188000,3.36,31298.3955600344
"5814","AL",1994,"grangje01",28,-0.1,50032000,-0.7,31289.5213942319
"5815","AL",1978,"brownto04",39,0.12,34316000,0.84,31280.1794372432
"5816","NL",1958,"briggjo01",288,0.44,18182000,3.08,31275.9484836807
"5817","NL",1891,"ryancy01",9,0.22,5067000,1.54,31249.8500856856
"5818","NL",1950,"ladedo01",354,0.82,12590000,5.74,31245.2912130719
"5819","NL",1987,"savagja01",10,0.06,39387000,0.42,31240.6896934528
"5820","AL",1935,"liebedu01",140,1.4,10525000,9.8,31230.5386344748
"5821","NL",2001,"oropeed01",57,-0.06,65273000,-0.42,31227.9487186679
"5822","AL",2006,"tatajo01",44,-0.11,71338000,-0.77,31223.6505787304
"5823","NL",2004,"watkist01",43,-0.1,68912000,-0.7,31207.7376176846
"5824","NL",1959,"smithbi04",25,0.24,18881000,1.68,31196.8569111683
"5825","NL",2017,"chacial01",18,-0.18,91457000,-1.26,31196.233250309
"5826","NL",2002,"stullev01",30,-0.12,66486000,-0.84,31187.9077250257
"5827","NL",2008,"jimenke01",72,-0.16,73764000,-1.12,31186.1811957252
"5828","NL",2003,"valenjo04",6,-0.16,67699000,-1.12,31178.9833970765
"5829","AL",1953,"simaal01",205,0.72,14687000,5.04,31174.9398345952
"5830","NL",2001,"bonilbo01",3,-0.06,65273000,-0.42,31174.3448121585
"5831","NL",2006,"mabeuch01",5,-0.11,71338000,-0.77,31173.1416020995
"5832","NL",1999,"mcnicbr01",32,-0.07,61722000,-0.49,31169.8902777877
"5833","NL",1992,"chapida01",6,-0.07,45356000,-0.49,31169.582289156
"5834","AL",1965,"dicksji01",257,0.49,22840000,3.43,31166.6577440185
"5835","AL",1969,"reedbo01",44,0.47,25448000,3.29,31162.4231847764
"5836","AL",2018,"adamsch01",23,-0.17,93638000,-1.19,31157.1880457683
"5837","AL",1970,"mcraeno01",94,0.56,26100000,3.92,31149.7429851721
"5838","AL",1973,"paganda01",38,0.18,29181000,1.26,31149.3634740718
"5839","NL",1978,"cornute01",9,0.12,34316000,0.84,31143.7608560116
"5840","AL",1986,"fischto01",51,0.09,38956000,0.63,31142.9797898405
"5841","AL",1996,"fletcpa01",4,-0.08,54708000,-0.56,31142.3887389713
"5842","AL",2011,"tobinma01",16,-0.12,78371000,-0.84,31133.9124324223
"5843","NL",1959,"kippfr01",8,0.24,18881000,1.68,31106.5562102255
"5844","AL",1991,"lyonsst01",3,0.03,43018000,0.21,31083.8918965456
