"","playerID","yearID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"6878","sullich02",1931,286,0.71,2329512,4.97,6888.4705468585
"6879","alzolad01",2019,37,-0.16,17439058,-1.12,6886.49636763665
"6880","ramirro01",1998,44,-0.5,13420784,-3.5,6885.83300401351
"6881","wantzdi01",1965,3,-0.08,6166800,-0.56,6885.22117617375
"6882","daleca01",1999,12,-0.37,13764006,-2.59,6884.57879330007
"6883","woodswa01",1899,559,2.82,767697,19.74,6881.79410993321
"6884","flavijo01",1964,14,-0.52,7588296,-3.64,6877.56047976055
"6885","claggan01",2009,11,-0.36,15145354,-2.52,6876.39602108402
"6886","clausfr01",1893,327,2.03,689073,14.21,6876.1966955424
"6887","cabreed01",2012,17,-0.38,15788192,-2.66,6874.5250917661
"6888","holbowa01",1945,94,0.58,2541428.57142857,4.06,6874.30768411102
"6889","blancal01",1935,52,0.61,2526000,4.27,6867.35397707637
"6890","diamoth01",2010,87,-0.41,15238000,-2.87,6865.85166126507
"6891","kralyst01",1953,75,0.22,3426966.66666667,1.54,6865.44903883532
"6892","edwarfo01",1926,75,1.05,2076232,7.35,6863.05889427234
"6893","nippeme01",1962,18,0.01,5388072,0.07,6857.74933136568
"6894","sanitam01",2011,21,-0.28,15517458,-1.96,6857.62147847439
"6895","cyrer01",2002,18,-0.43,14360976,-3.01,6857.00763689273
"6896","stephjo03",2002,195,-0.42,14360976,-2.94,6855.15642861618
"6897","nosekra01",1989,16,-0.4,10263495,-2.8,6852.53446745539
"6898","speiega01",2019,22,-0.16,17439058,-1.12,6848.72780082033
"6899","deanpa02",2016,202,-0.31,16783888,-2.17,6846.1568881409
"6900","milleja03",2007,12,-0.31,14945506,-2.17,6844.98753264369
"6901","munozos01",1995,106,-0.31,12306950,-2.17,6843.52697049174
"6902","yelloch01",1921,145,1.09,1832887,7.63,6843.52122408839
"6903","stewaza01",2011,202,-0.28,15517458,-1.96,6841.90200393036
"6904","houckby01",1918,215,1.26,1682260,8.82,6841.42653452373
"6905","ciardma01",1987,49,-0.48,10437555,-3.36,6840.43386539993
"6906","ceasedy01",2019,219,-0.17,17439058,-1.19,6838.64536025704
"6907","tyrivda01",1962,32,0.01,5388072,0.07,6838.02495096517
"6908","pfefffr01",1885,95,0.45,588125,3.15,6834.93281160184
"6909","sneltdj01",2018,13,-0.24,17229392,-1.68,6832.59946613486
"6910","mattetr01",2001,135,-0.44,14229514,-3.08,6832.00367230184
"6911","ettlema01",1993,54,-0.35,11494254,-2.45,6828.48415038466
"6912","naymimi01",1943,188,0.37,2644114.28571429,2.59,6828.36517228543
"6913","martija02",1998,123,-0.53,13420784,-3.71,6819.03416365977
"6914","mahlegr01",2016,55,-0.3,16783888,-2.1,6812.36728337612
"6915","papajo01",1961,3,-0.12,5138928,-0.84,6812.14069884066
"6916","allisda01",1991,33,-0.36,10625446,-2.52,6811.46664089426
"6917","ashke01",1930,118,0.64,2281600,4.48,6809.7390493954
"6918","cresswa01",1948,180,0.63,2664566.66666667,4.41,6808.68686783232
"6919","morenle01",1909,773,2.16,1229697,15.12,6805.47056241379
"6920","hahnfr01",1952,6,-0.04,3963266.66666667,-0.28,6804.09629511101
"6921","leonar02",2017,20,-0.28,17011002,-1.96,6801.78409093787
"6922","denniry01",2014,14,-0.39,16303488,-2.73,6799.544518288
"6923","lowdegr01",1919,326,0.99,1733940,6.93,6798.76877817029
"6924","mangule01",1933,252,0.61,2426788,4.27,6797.79651698558
"6925","hopkipa01",1929,55,0.71,2229367,4.97,6793.6922105928
"6926","heldme01",1956,21,0.02,4196000,0.14,6792.05395129448
"6927","wellsca01",2013,5,-0.49,16050202,-3.43,6791.61579736772
"6928","lushjo01",1908,752,2.24,1177488,15.68,6788.603687647
"6929","bradedo01",1964,7,-0.58,7588296,-4.06,6787.142005099
"6930","randasc01",2003,83,-0.49,14487586,-3.43,6786.75587413629
"6931","crosbca01",2012,37,-0.39,15788192,-2.73,6786.72913327749
"6932","lailbr01",2019,8,-0.18,17439058,-1.26,6781.96872334712
"6933","hutchch01",2001,12,-0.47,14229514,-3.29,6780.92384610797
"6934","smithda01",1938,133,0.47,2678448,3.29,6779.84183493129
"6935","wolfeed01",1952,11,-0.04,3963266.66666667,-0.28,6779.8136612108
"6936","sherrti01",1990,13,-0.22,10170000,-1.54,6777.29990515367
"6937","pillty01",2017,66,-0.28,17011002,-1.96,6776.39105706408
"6938","ariasru01",1959,132,-0.14,4720250,-0.98,6775.15593998056
"6939","duserca01",1958,6,0.01,4545500,0.07,6773.61291033109
"6940","tatedi01",2019,63,-0.18,17439058,-1.26,6772.33020165702
"6941","wheatwo01",1944,114,0.32,2593814.28571429,2.24,6771.18301072715
"6942","papaial01",1949,427,0.63,2627066.66666667,4.41,6769.21098662036
"6943","pickfke01",2002,90,-0.45,14360976,-3.15,6769.07891798682
"6944","wittijo01",1943,492,0.36,2644114.28571429,2.52,6766.17011595354
"6945","oakstr01",2018,41,-0.25,17229392,-1.75,6763.34190562543
"6946","colebe01",1921,329,1.08,1832887,7.56,6757.89184072293
"6947","harribu02",1948,284,0.7,2527922.22222222,4.9,6757.28303083246
"6948","frutoem01",2006,108,-0.39,14838304,-2.73,6756.89623791835
"6949","kentst01",2002,172,-0.47,14360976,-3.29,6754.78585844636
"6950","gillipa01",1967,9,-0.24,6712032,-1.68,6752.04809160875
"6951","sierrca01",1988,83,-0.46,10432316,-3.22,6750.87488724208
"6952","georgbi01",1888,101,1.06,625664,7.42,6749.45632563475
"6953","langefr01",1911,485,1.43,1331140,10.01,6748.08730247362
"6954","schmost01",2005,140,-0.53,14726250,-3.71,6747.44946236309
"6955","anderta01",2019,67,-0.19,17439058,-1.33,6744.73939951593
"6956","ynoahu01",2019,9,-0.18,17439058,-1.26,6743.65469289296
"6957","hammpe01",1970,49,-0.17,7569000,-1.19,6743.58744625793
"6958","armbror01",1934,38,0.57,2476152,3.99,6740.78583161324
"6959","darnelo01",2014,72,-0.43,16303488,-3.01,6736.43251829201
